Milestone,Workstream,Title,Description,Priority,Estimate,Labels,Status
FinHive M5 · Completion & Hardening,data,Build the archive index table,"Retention without retrieval is not retention, and restoring an archive to answer a simple question is too slow to be used. Keep a pointer table in Postgres for the full 7 years carrying batch_id, reference_id, operation, decided_by, decided_at and archive_path. Then who extended this loan in 2027 is answerable without restoring anything; only the full before and after payload needs a restore. Acceptance: an archived batch is discoverable and attributable from the index alone.",1,5,"product:finhive,data,retention",Backlog
FinHive M5 · Completion & Hardening,data,Write and test the archive restore procedure,"An archive nobody has restored from is a folder of files you believe contain something. Document the restore path and add a CI job that runs quarterly against a synthetic archive, restoring a month partition and asserting row-level equality with the original. Acceptance: the quarterly job passes and a deliberately corrupted archive fails it.",1,5,"product:finhive,data,retention,testing",Backlog
FinHive M5 · Completion & Hardening,data,Implement the 7-year purge job,"Without an actual deletion job, 7-year retention becomes indefinite retention by neglect — a different and in privacy terms worse policy than the one approved. Implement the purge for records past 7 years, with a dry-run mode, an audit line per purged partition, and a guard preventing a purge of anything inside the window. Acceptance: dry run reports the correct partitions and the guard blocks an in-window deletion attempt.",1,5,"product:finhive,data,retention,privacy",Backlog
FinHive M5 · Completion & Hardening,data,Confirm Supabase backups are not the retention mechanism,"Supabase PITR is 7 days and is a recovery tool, not retention. Conflating the two is how an organisation discovers in year four that it has 7 days of history. Verify and document that the archive pipeline, not backups, satisfies ARB decision OQ-02, and that backup restore never overwrites archived partitions. Acceptance: the distinction is documented and a restore drill confirms archives survive a PITR restore.",2,2,"product:finhive,data,infra,retention,docs",Backlog
FinHive M5 · Completion & Hardening,data,Move financial aggregation out of dbt into an app-layer job,"ADR-2.4. dbt is SQL in the warehouse, has no key, and cannot decrypt — so fct_outstanding_balance, agg_portfolio_summary and every amount-bearing mart cannot be computed there. Build an app-layer materialization job that decrypts, computes with Decimal, re-encrypts and writes the mart, scheduled in GitHub Actions alongside dbt rather than inside a Vercel function. dbt keeps what it can still enforce: column presence, types, nullability, enum validity, referential integrity, reference_id uniqueness, date logic, freshness, row counts and null rates. Acceptance: financial marts are produced and encrypted, and dbt's remaining contracts still fail the build on a shape violation.",1,8,"product:finhive,data,dbt,encryption",Backlog
FinHive M5 · Completion & Hardening,business-logic,Implement DueSoon as a derived display state,"StatusChip has five variants but StatusEngine returns four and must keep returning four — it is fully tested, correct, and the thing this rewrite is obliged not to break. Compute DueSoon in the dbt mart as Active plus a due_date within N days, returned as a separate is_due_soon boolean, and render the chip from status equals Active and is_due_soon. Nothing writes DueSoon to loans.status; enforce with a CHECK constraint. N is configurable, not hardcoded. Acceptance: the four-value status engine and its tests are untouched, the constraint rejects a DueSoon write, and the chip renders correctly.",1,5,"product:finhive,domain,data,frontend",Backlog
FinHive M5 · Completion & Hardening,frontend,Build portfolio dashboard,"Create the landing dashboard: total outstanding, count by status, upcoming dues, and overdue alerts. Read from the dbt aggregate mart rather than computing client-side. Acceptance: dashboard figures reconcile exactly with the loans table.",2,5,"product:finhive,frontend,feature",Backlog
FinHive M5 · Completion & Hardening,observability,Implement dbt status endpoint and DataHealthBadge,"GET /api/admin/dbt/status returns passed, total, last_run_at and the failing models. DataHealthBadge renders pass, degraded and stale variants in the nav rail footer. This surfaces the data contract state where a user will actually see it. Acceptance: a deliberately failing dbt test turns the badge degraded and names the failing model.",2,3,"product:finhive,backend,frontend,data,observability",Backlog
FinHive M5 · Completion & Hardening,docs,Document erasure request handling under statutory retention,"DPDP grants data principals a right to erasure, but statutory retention overrides it for the retention period — and only for the records the statute covers. An erasure request must NOT be honoured by deleting rows from proposed_mutations or report_records inside the 7-year window, and must not be silently ignored either. Document the correct handling: refusal with a stated reason for in-scope records, plus deletion of anything outside statutory scope such as agent chat transcripts. Write it now while it is a design note rather than an incident. Acceptance: the procedure is documented and referenced from ARB_DECISIONS.md.",2,3,"product:finhive,privacy,docs,retention",Backlog
FinHive M5 · Completion & Hardening,docs,Author MDX help content and onboarding,"Write the in-app help content in MDX covering first-run onboarding, what the agent can and cannot do, how the approval queue works, and the interest calculation rules. Content lives in git and is reviewed in PRs. Acceptance: the help route renders MDX and is linked from the app shell.",3,5,"product:finhive,docs,frontend,content",Backlog
FinHive M5 · Completion & Hardening,docs,Correct story bank S13 framing on desktop GUI,The S13 story states the existing desktop GUI is Tkinter. The actual MVP1 implementation is PySide6 with QAbstractTableModel. Correct the story before it is used in an interview. Acceptance: S13 accurately describes the MVP1 stack.,3,1,"product:finhive,docs,story",Backlog
FinHive M5 · Completion & Hardening,testing,Property-based test replacing the dbt interest-formula assertion,"ADR-2.4 is honest that amount encryption weakens the v2.0.0 double-enforcement argument: the SQL assertion of the monthly interest formula dies, and two Python implementations can share a Python bug in a way a Python and a SQL implementation cannot. Narrow the gap with a property-based test — generate thousands of random amount, rate and period combinations and assert the app-layer materialization job and InterestCalculator agree exactly, including rounding at two decimal places with ROUND_HALF_UP. This catches divergence without restoring language independence, and the difference should be stated rather than glossed. Acceptance: the property test runs in CI and a deliberate off-by-one in either implementation fails it.",1,5,"product:finhive,testing,data,business-logic",Backlog
